t_s,rtt_ms,capacity_mbps,cubic_goodput_mbps,loss_p,reconfig
8.9500,29.315,28.0143,28.0143,0.000000,0
9.0000,48.900,27.2826,27.2826,0.000000,0
9.0500,46.096,27.2826,27.2826,0.000000,0
9.1000,39.643,25.1268,25.1268,0.000000,0
9.1500,47.781,25.1268,25.1268,0.000000,0
9.2000,29.763,24.9731,24.9731,0.000000,0
9.2500,28.449,24.9731,24.9731,0.000000,0
9.3000,31.227,23.8911,23.8911,0.000000,0
9.3500,46.015,23.8911,23.8911,0.000000,0
9.4000,48.331,17.5699,17.5699,0.000000,0
9.4500,36.532,17.5699,17.5699,0.000000,0
9.5000,39.252,24.1341,24.1341,0.000000,0
9.5500,41.871,24.1341,24.1341,0.000000,0
9.6000,40.230,19.7225,19.7225,0.000000,0
9.6500,38.215,19.7225,19.7225,0.000000,0
9.7000,46.500,20.6837,20.6837,0.000000,0
9.7500,34.930,20.6837,20.6837,0.000000,0
9.8000,31.907,18.3577,18.3577,0.000000,0
9.8500,35.555,18.3577,18.3577,0.000000,0
9.9000,34.636,25.0149,25.0149,0.000000,0
9.9500,46.766,25.0149,25.0149,0.000000,0
10.0000,29.428,22.5314,22.5314,0.000000,0
10.0500,49.155,22.5314,22.5314,0.000000,0
10.1000,36.189,29.2812,29.2812,0.000000,0
10.1500,29.857,29.2812,29.2812,0.000000,0
10.2000,59.720,26.0170,26.0170,0.000000,0
10.2500,35.363,26.0170,26.0170,0.000000,0
10.3000,39.385,17.0697,17.0697,0.000000,0
10.3500,47.542,17.0697,17.0697,0.000000,0
10.4000,46.702,31.0611,31.0611,0.000000,0
10.4500,49.157,31.0611,31.0611,0.000000,0
10.5000,36.653,24.5563,24.5563,0.000000,0
10.5500,45.304,24.5563,24.5563,0.000000,0
10.6000,32.229,17.7013,17.7013,0.000000,0
10.6500,36.696,17.7013,17.7013,0.000000,0
10.7000,34.070,21.6339,21.6339,0.000000,0
10.7500,36.777,21.6339,21.6339,0.000000,0
10.8000,34.335,24.7652,24.7652,0.000000,0
10.8500,34.024,24.7652,24.7652,0.000000,0
10.9000,37.291,6.0642,6.0642,0.000000,0
10.9500,29.593,6.0642,6.0642,0.000000,0
11.0000,48.228,18.6154,18.6154,0.000000,0
11.0500,36.438,18.6154,18.6154,0.000000,0
11.1000,39.576,25.6301,25.6301,0.000000,0
11.1500,30.560,25.6301,25.6301,0.000000,0
11.2000,45.679,18.6501,18.6501,0.000000,0
11.2500,38.315,18.6501,18.6501,0.000000,0
11.3000,36.487,18.3005,18.3005,0.000000,0
11.3500,39.600,18.3005,18.3005,0.000000,0
11.4000,37.598,20.1153,20.1153,0.000000,0
11.4500,35.439,20.1153,20.1153,0.000000,0
11.5000,34.009,26.8174,26.8174,0.000000,0
11.5500,30.993,26.8174,26.8174,0.000000,0
11.6000,95.679,17.1218,17.1218,0.000000,0
11.6500,86.045,17.1218,17.1218,0.000000,0
11.7000,48.617,18.1748,18.1748,0.000000,0
11.7500,46.658,18.1748,18.1748,0.000000,0
11.8000,39.866,23.0697,23.0697,0.000000,0
11.8500,36.641,23.0697,23.0697,0.000000,0
11.9000,41.507,24.9154,24.9154,0.000000,0
11.9500,45.202,24.9154,24.9154,0.000000,0
12.0000,37.959,28.7157,28.7157,0.000000,0
12.0500,36.240,28.7157,28.7157,0.000000,0
12.1000,48.783,27.1481,27.1481,0.000000,0
12.1500,36.766,27.1481,27.1481,0.000000,0
12.2000,35.301,20.5118,20.5118,0.000000,0
12.2500,48.523,20.5118,20.5118,0.000000,0
12.3000,47.446,26.3296,26.3296,0.000000,0
12.3500,39.962,26.3296,26.3296,0.000000,0
12.4000,47.648,25.4579,25.4579,0.000000,0
12.4500,41.392,25.4579,25.4579,0.000000,0
12.5000,34.072,21.8589,21.8589,0.000000,0
12.5500,47.921,21.8589,21.8589,0.000000,0
12.6000,39.718,23.3402,23.3402,0.000000,0
12.6500,48.609,23.3402,23.3402,0.000000,0
12.7000,36.686,22.1967,22.1967,0.000000,0
12.7500,39.560,22.1967,22.1967,0.000000,0
12.8000,36.662,29.0487,29.0487,0.000000,0
12.8500,45.519,29.0487,29.0487,0.000000,0
12.9000,37.416,27.3726,27.3726,0.000000,0
12.9500,36.830,27.3726,27.3726,0.000000,0
13.0000,39.709,26.8158,26.8158,0.000000,0
13.0500,37.911,26.8158,26.8158,0.000000,0
13.1000,46.812,24.5359,24.5359,0.000000,0
13.1500,54.050,24.5359,24.5359,0.000000,0
13.2000,47.904,21.7816,21.7816,0.000000,0
13.2500,34.911,21.7816,21.7816,0.000000,0
13.3000,54.284,23.5088,23.5088,0.000000,0
13.3500,36.318,23.5088,23.5088,0.000000,0
13.4000,33.713,23.5439,23.5439,0.000000,0
13.4500,36.996,23.5439,23.5439,0.000000,0
13.5000,35.566,29.8622,29.8622,0.000000,0
13.5500,38.920,29.8622,29.8622,0.000000,0
13.6000,36.576,25.4271,25.4271,0.000000,0
13.6500,34.945,25.4271,25.4271,0.000000,0
13.7000,32.664,27.8462,27.8462,0.000000,0
13.7500,41.710,27.8462,27.8462,0.000000,0
13.8000,34.476,21.9448,21.9448,0.000000,0
13.8500,42.963,21.9448,21.9448,0.000000,0
13.9000,41.793,25.8134,25.8134,0.000000,0
13.9500,33.004,25.8134,25.8134,0.000000,0
14.0000,42.879,27.4643,27.4643,0.000000,0
14.0500,33.672,27.4643,27.4643,0.000000,0
14.1000,33.228,27.3712,27.3712,0.000000,0
14.1500,36.263,27.3712,27.3712,0.000000,0
14.2000,33.167,27.9476,27.9476,0.000000,0
14.2500,36.982,27.9476,27.9476,0.000000,0
14.3000,40.399,31.0793,31.0793,0.000000,0
14.3500,39.039,31.0793,31.0793,0.000000,0
14.4000,36.282,30.2999,30.2999,0.000000,0
14.4500,35.522,30.2999,30.2999,0.000000,0
14.5000,38.052,20.1676,20.1676,0.000000,0
14.5500,36.407,20.1676,20.1676,0.000000,0
14.6000,39.491,34.7950,34.7950,0.000000,0
14.6500,48.061,34.7950,34.7950,0.000000,0
14.7000,36.027,28.8333,28.8333,0.000000,0
14.7500,44.995,28.8333,28.8333,0.000000,0
14.8000,47.886,26.1361,26.1361,0.000000,0
14.8500,56.891,26.1361,26.1361,0.000000,0
14.9000,38.394,23.6511,23.6511,0.000000,0
14.9500,36.123,23.6511,23.6511,0.000000,0
15.0000,35.004,26.9231,26.9231,0.000000,0
15.0500,37.315,26.9231,26.9231,0.000000,0
15.1000,46.365,18.6917,18.6917,0.000000,0
15.1500,39.661,18.6917,18.6917,0.000000,0
15.2000,37.612,22.5366,22.5366,0.000000,0
15.2500,35.228,22.5366,22.5366,0.000000,0
15.3000,38.645,28.1209,28.1209,0.000000,0
15.3500,47.767,28.1209,28.1209,0.000000,0
15.4000,40.045,29.5516,29.5516,0.000000,0
15.4500,33.363,29.5516,29.5516,0.000000,0
15.5000,36.710,6.5114,6.5114,0.000000,0
15.5500,66.285,6.5114,6.5114,0.000000,0
15.6000,48.205,40.7866,40.7866,0.000000,0
15.6500,45.599,40.7866,40.7866,0.000000,0
15.7000,38.629,24.2244,24.2244,0.000000,0
15.7500,37.224,24.2244,24.2244,0.000000,0
15.8000,45.853,22.6633,22.6633,0.000000,0
15.8500,38.062,22.6633,22.6633,0.000000,0
15.9000,36.151,15.1457,15.1457,0.000000,0
15.9500,39.508,15.1457,15.1457,0.000000,0
16.0000,48.428,27.2769,27.2769,0.000000,0
16.0500,39.833,27.2769,27.2769,0.000000,0
16.1000,43.595,17.2322,17.2322,0.000000,0
16.1500,57.692,17.2322,17.2322,0.000000,0
16.2000,39.651,17.8434,17.8434,0.000000,0
16.2500,37.580,17.8434,17.8434,0.000000,0
16.3000,35.160,19.2213,19.2213,0.000000,0
16.3500,39.736,19.2213,19.2213,0.000000,0
16.4000,42.643,15.3183,15.3183,0.000000,0
16.4500,34.887,15.3183,15.3183,0.000000,0
16.5000,33.077,14.5883,14.5883,0.000000,0
16.5500,35.753,14.5883,14.5883,0.000000,0
16.6000,38.773,15.7694,15.7694,0.000000,0
16.6500,36.612,15.7694,15.7694,0.000000,0
16.7000,40.596,16.2824,16.2824,0.000000,0
16.7500,43.635,16.2824,16.2824,0.000000,0
16.8000,36.991,17.5703,17.5703,0.000000,0
16.8500,44.673,17.5703,17.5703,0.000000,0
16.9000,37.804,15.0350,15.0350,0.000000,0
16.9500,36.223,15.0350,15.0350,0.000000,0
17.0000,39.920,11.7170,11.7170,0.000000,0
17.0500,44.062,11.7170,11.7170,0.000000,0
17.1000,45.172,19.6048,19.6048,0.000000,0
17.1500,39.053,19.6048,19.6048,0.000000,0
17.2000,43.305,20.2722,20.2722,0.000000,0
17.2500,46.142,20.2722,20.2722,0.000000,0
17.3000,38.011,19.4376,19.4376,0.000000,0
17.3500,42.117,19.4376,19.4376,0.000000,0
17.4000,33.323,13.9153,13.9153,0.000000,0
17.4500,37.097,13.9153,13.9153,0.000000,0
17.5000,40.670,23.2157,23.2157,0.000000,0
17.5500,44.858,23.2157,23.2157,0.000000,0
17.6000,38.108,22.0660,22.0660,0.000000,0
17.6500,41.475,22.0660,22.0660,0.000000,0
17.7000,49.458,22.3896,22.3896,0.000000,0
17.7500,63.654,22.3896,22.3896,0.000000,0
17.8000,50.350,19.3088,19.3088,0.000000,0
17.8500,43.333,19.3088,19.3088,0.000000,0
17.9000,36.269,21.0282,21.0282,0.000000,0
17.9500,33.713,21.0282,21.0282,0.000000,0
18.0000,42.127,18.6902,18.6902,0.000000,0
18.0500,44.667,18.6902,18.6902,0.000000,0
18.1000,43.506,16.5672,16.5672,0.000000,0
18.1500,35.916,16.5672,16.5672,0.000000,0
18.2000,34.527,23.5363,23.5363,0.000000,0
18.2500,37.601,23.5363,23.5363,0.000000,0
18.3000,36.470,22.0035,22.0035,0.000000,0
18.3500,33.116,22.0035,22.0035,0.000000,0
18.4000,36.654,20.6783,20.6783,0.000000,0
18.4500,40.113,20.6783,20.6783,0.000000,0
18.5000,38.607,18.3662,18.3662,0.000000,0
18.5500,47.601,18.3662,18.3662,0.000000,0
18.6000,44.018,21.5056,21.5056,0.000000,0
18.6500,35.906,21.5056,21.5056,0.000000,0
18.7000,34.759,18.2930,18.2930,0.000000,0
18.7500,39.190,18.2930,18.2930,0.000000,0
18.8000,36.854,23.7415,23.7415,0.000000,0
18.8500,35.599,23.7415,23.7415,0.000000,0
18.9000,33.573,9.9155,9.9155,0.000000,0
18.9500,36.906,9.9155,9.9155,0.000000,0
19.0000,39.286,26.5748,26.5748,0.000000,0
19.0500,42.572,26.5748,26.5748,0.000000,0
19.1000,36.146,17.2356,17.2356,0.000000,0
19.1500,54.979,17.2356,17.2356,0.000000,0
19.2000,36.310,13.8030,13.8030,0.000000,0
19.2500,39.972,13.8030,13.8030,0.000000,0
19.3000,38.206,18.4341,18.4341,0.000000,0
19.3500,36.238,18.4341,18.4341,0.000000,0
19.4000,39.574,14.7522,14.7522,0.000000,0
19.4500,41.922,14.7522,14.7522,0.000000,0
19.5000,35.882,16.6222,16.6222,0.000000,0
19.5500,39.071,16.6222,16.6222,0.000000,0
19.6000,47.995,19.4355,19.4355,0.000000,0
19.6500,33.727,19.4355,19.4355,0.000000,0
19.7000,38.169,19.9377,19.9377,0.000000,0
19.7500,46.928,19.9377,19.9377,0.000000,0
19.8000,38.678,16.9513,16.9513,0.000000,0
19.8500,38.045,16.9513,16.9513,0.000000,0
19.9000,39.892,20.9458,20.9458,0.000000,0
19.9500,32.644,20.9458,20.9458,0.000000,0
20.0000,36.559,19.6678,19.6678,0.000000,0
20.0500,35.566,19.6678,19.6678,0.000000,0
20.1000,37.890,18.4689,18.4689,0.000000,0
20.1500,57.541,18.4689,18.4689,0.000000,0
20.2000,34.230,16.1678,16.1678,0.000000,0
20.2500,37.382,16.1678,16.1678,0.000000,0
20.3000,34.938,16.6616,16.6616,0.000000,0
20.3500,34.020,16.6616,16.6616,0.000000,0
20.4000,42.074,21.6379,21.6379,0.000000,0
