t_s,rtt_ms,owd_ms,capacity_mbps,udp_sat_mbps,loss_p,reconfig
11.2500,22.000,11.000,244.8000,244.8000,0.000100,0
11.3000,22.000,11.000,259.2000,259.2000,0.000100,0
11.3500,28.000,14.000,261.6000,261.6000,0.000100,0
11.4000,28.000,14.000,237.6000,237.6000,0.000100,0
11.4500,28.000,14.000,415.2000,415.2000,0.000100,0
11.5000,28.000,14.000,364.8000,364.8000,0.000100,0
11.5500,32.000,16.000,292.8000,292.8000,0.000100,0
11.6000,22.000,11.000,240.0000,240.0000,0.000100,0
11.6500,28.000,14.000,309.6000,309.6000,0.000100,0
11.7000,28.000,14.000,364.8000,364.8000,0.000100,0
11.7500,22.000,11.000,336.0000,336.0000,0.000100,0
11.8000,28.000,14.000,343.2000,343.2000,0.000100,0
11.8500,28.000,14.000,321.6000,321.6000,0.000100,0
11.9000,26.000,13.000,326.4000,326.4000,0.000100,0
11.9500,28.000,14.000,393.6000,393.6000,0.000100,0
12.0000,22.000,11.000,362.4000,362.4000,0.000100,0
12.0500,32.000,16.000,374.4000,374.4000,0.000100,0
12.1000,22.000,11.000,400.8000,400.8000,0.000100,0
12.1500,32.000,16.000,388.8000,388.8000,0.000100,0
12.2000,32.000,16.000,400.8000,400.8000,0.000100,0
12.2500,22.000,11.000,410.4000,410.4000,0.000100,0
12.3000,32.000,16.000,403.2000,403.2000,0.000100,0
12.3500,24.000,12.000,410.4000,410.4000,0.000100,0
12.4000,22.000,11.000,400.8000,400.8000,0.000100,0
12.4500,28.000,14.000,408.0000,408.0000,0.000100,0
12.5000,22.000,11.000,403.2000,403.2000,0.000100,0
12.5500,28.000,14.000,388.8000,388.8000,0.000100,0
12.6000,32.000,16.000,381.6000,381.6000,0.000100,0
12.6500,28.000,14.000,360.0000,360.0000,0.000100,0
12.7000,26.000,13.000,364.8000,364.8000,0.000100,0
12.7500,32.000,16.000,391.2000,391.2000,0.000100,0
12.8000,28.000,14.000,398.4000,398.4000,0.000100,0
12.8500,28.000,14.000,410.4000,410.4000,0.000100,0
12.9000,28.000,14.000,400.8000,400.8000,0.000100,0
12.9500,22.000,11.000,384.0000,384.0000,0.000100,0
13.0000,32.000,16.000,321.6000,321.6000,0.000100,0
13.0500,28.000,14.000,393.6000,393.6000,0.000100,0
13.1000,28.000,14.000,400.8000,400.8000,0.000100,0
13.1500,32.000,16.000,410.4000,410.4000,0.000100,0
13.2000,22.000,11.000,400.8000,400.8000,0.000100,0
13.2500,28.000,14.000,369.6000,369.6000,0.000100,0
13.3000,28.000,14.000,386.4000,386.4000,0.000100,0
13.3500,22.000,11.000,391.2000,391.2000,0.000100,0
13.4000,28.000,14.000,379.2000,379.2000,0.000100,0
13.4500,28.000,14.000,412.8000,412.8000,0.000100,0
13.5000,28.000,14.000,384.0000,384.0000,0.000100,0
13.5500,32.000,16.000,393.6000,393.6000,0.000100,0
13.6000,22.000,11.000,324.0000,324.0000,0.000100,0
13.6500,26.000,13.000,372.0000,372.0000,0.000100,0
13.7000,28.000,14.000,348.0000,348.0000,0.000100,0
13.7500,28.000,14.000,336.0000,336.0000,0.000100,0
13.8000,32.000,16.000,379.2000,379.2000,0.000100,0
13.8500,22.000,11.000,393.6000,393.6000,0.000100,0
13.9000,32.000,16.000,381.6000,381.6000,0.000100,0
13.9500,28.000,14.000,410.4000,410.4000,0.000100,0
14.0000,22.000,11.000,381.6000,381.6000,0.000100,0
14.0500,28.000,14.000,374.4000,374.4000,0.000100,0
14.1000,22.000,11.000,400.8000,400.8000,0.000100,0
14.1500,28.000,14.000,391.2000,391.2000,0.000100,0
14.2000,28.000,14.000,398.4000,398.4000,0.000100,0
14.2500,22.000,11.000,412.8000,412.8000,0.000100,0
14.3000,28.000,14.000,400.8000,400.8000,0.000100,0
14.3500,32.000,16.000,410.4000,410.4000,0.000100,0
14.4000,26.000,13.000,400.8000,400.8000,0.000100,0
14.4500,28.000,14.000,403.2000,403.2000,0.000100,0
14.5000,22.000,11.000,408.0000,408.0000,0.000100,0
14.5500,28.000,14.000,408.0000,408.0000,0.000100,0
14.6000,32.000,16.000,381.6000,381.6000,0.000100,0
14.6500,22.000,11.000,376.8000,376.8000,0.000100,0
14.7000,32.000,16.000,345.6000,345.6000,0.000100,0
14.7500,28.000,14.000,393.6000,393.6000,0.000100,0
14.8000,22.000,11.000,396.0000,396.0000,0.000100,0
14.8500,30.000,15.000,408.0000,408.0000,0.000100,0
14.9000,28.000,14.000,403.2000,403.2000,0.000100,0
