t_s,rtt_ms,owd_ms,capacity_mbps,udp_sat_mbps,loss_p,reconfig
11.5500,50.000,25.000,452.6400,452.6400,0.000100,0
11.6000,46.000,23.000,422.8800,422.8800,0.000100,0
11.6500,52.000,26.000,416.6400,416.6400,0.000100,0
11.7000,54.000,27.000,458.6400,458.6400,0.000100,0
11.7500,52.000,26.000,417.8400,417.8400,0.000100,0
11.8000,52.000,26.000,438.9600,438.9600,0.000100,0
11.8500,52.000,26.000,435.6000,435.6000,0.000100,0
11.9000,56.000,28.000,440.1600,440.1600,0.000100,0
11.9500,52.000,26.000,436.0800,436.0800,0.000100,0
12.0000,50.000,25.000,438.7200,438.7200,0.000100,0
12.0500,46.000,23.000,436.8000,436.8000,0.000100,0
12.1000,54.000,27.000,421.6800,421.6800,0.000100,0
12.1500,50.000,25.000,451.9200,451.9200,0.000100,0
12.2000,50.000,25.000,423.3600,423.3600,0.000100,0
12.2500,50.000,25.000,416.6400,416.6400,0.000100,0
12.3000,52.000,26.000,458.8800,458.8800,0.000100,0
12.3500,50.000,25.000,416.4000,416.4000,0.000100,0
12.4000,52.000,26.000,441.6000,441.6000,0.000100,0
12.4500,50.000,25.000,434.6400,434.6400,0.000100,0
12.5000,50.000,25.000,441.1200,441.1200,0.000100,0
12.5500,50.000,25.000,434.8800,434.8800,0.000100,0
12.6000,46.000,23.000,440.1600,440.1600,0.000100,0
12.6500,52.000,26.000,432.7200,432.7200,0.000100,0
12.7000,58.000,29.000,442.5600,442.5600,0.000100,0
12.7500,50.000,25.000,434.8800,434.8800,0.000100,0
12.8000,50.000,25.000,423.1200,423.1200,0.000100,0
12.8500,52.000,26.000,453.1200,453.1200,0.000100,0
12.9000,58.000,29.000,422.6400,422.6400,0.000100,0
12.9500,52.000,26.000,416.1600,416.1600,0.000100,0
13.0000,46.000,23.000,458.6400,458.6400,0.000100,0
13.0500,46.000,23.000,413.7600,413.7600,0.000100,0
13.1000,50.000,25.000,445.2000,445.2000,0.000100,0
13.1500,50.000,25.000,431.2800,431.2800,0.000100,0
13.2000,50.000,25.000,442.8000,442.8000,0.000100,0
13.2500,50.000,25.000,433.4400,433.4400,0.000100,0
13.3000,48.000,24.000,442.5600,442.5600,0.000100,0
13.3500,50.000,25.000,433.2000,433.2000,0.000100,0
13.4000,50.000,25.000,423.8400,423.8400,0.000100,0
13.4500,46.000,23.000,451.9200,451.9200,0.000100,0
13.5000,52.000,26.000,423.6000,423.6000,0.000100,0
13.5500,50.000,25.000,415.9200,415.9200,0.000100,0
13.6000,46.000,23.000,460.0800,460.0800,0.000100,0
13.6500,50.000,25.000,411.8400,411.8400,0.000100,0
13.7000,50.000,25.000,446.6400,446.6400,0.000100,0
13.7500,48.000,24.000,430.5600,430.5600,0.000100,0
13.8000,58.000,29.000,444.4800,444.4800,0.000100,0
13.8500,50.000,25.000,432.9600,432.9600,0.000100,0
13.9000,46.000,23.000,442.3200,442.3200,0.000100,0
13.9500,50.000,25.000,433.4400,433.4400,0.000100,0
14.0000,46.000,23.000,422.1600,422.1600,0.000100,0
14.0500,46.000,23.000,453.8400,453.8400,0.000100,0
14.1000,50.000,25.000,422.1600,422.1600,0.000100,0
14.1500,52.000,26.000,412.3200,412.3200,0.000100,0
14.2000,46.000,23.000,462.0000,462.0000,0.000100,0
14.2500,50.000,25.000,414.7200,414.7200,0.000100,0
14.3000,52.000,26.000,444.4800,444.4800,0.000100,0
14.3500,46.000,23.000,428.6400,428.6400,0.000100,0
14.4000,52.000,26.000,445.9200,445.9200,0.000100,0
14.4500,46.000,23.000,431.0400,431.0400,0.000100,0
14.5000,50.000,25.000,444.9600,444.9600,0.000100,0
14.5500,50.000,25.000,430.3200,430.3200,0.000100,0
