t_s,rtt_ms,owd_ms,capacity_mbps,udp_sat_mbps,loss_p,reconfig
7.1000,108.000,54.000,398.6400,398.6400,0.000100,0
7.1500,98.000,49.000,414.0000,414.0000,0.000100,0
7.2000,104.000,52.000,433.9200,433.9200,0.000100,0
7.2500,102.000,51.000,429.3600,429.3600,0.000100,0
7.3000,98.000,49.000,447.6000,447.6000,0.000100,0
7.3500,100.000,50.000,429.8400,429.8400,0.000100,0
7.4000,104.000,52.000,448.3200,448.3200,0.000100,0
7.4500,100.000,50.000,423.8400,423.8400,0.000100,0
7.5000,100.000,50.000,454.0800,454.0800,0.000100,0
7.5500,104.000,52.000,422.8800,422.8800,0.000100,0
7.6000,98.000,49.000,417.6000,417.6000,0.000100,0
7.6500,100.000,50.000,458.4000,458.4000,0.000100,0
7.7000,104.000,52.000,417.6000,417.6000,0.000100,0
7.7500,100.000,50.000,429.3600,429.3600,0.000100,0
7.8000,100.000,50.000,447.6000,447.6000,0.000100,0
7.8500,104.000,52.000,427.4400,427.4400,0.000100,0
7.9000,100.000,50.000,447.3600,447.3600,0.000100,0
7.9500,100.000,50.000,429.6000,429.6000,0.000100,0
8.0000,104.000,52.000,448.0800,448.0800,0.000100,0
8.0500,100.000,50.000,425.5200,425.5200,0.000100,0
8.1000,106.000,53.000,452.1600,452.1600,0.000100,0
8.1500,104.000,52.000,423.3600,423.3600,0.000100,0
8.2000,104.000,52.000,416.1600,416.1600,0.000100,0
8.2500,100.000,50.000,461.5200,461.5200,0.000100,0
8.3000,104.000,52.000,412.8000,412.8000,0.000100,0
8.3500,100.000,50.000,433.2000,433.2000,0.000100,0
8.4000,98.000,49.000,447.8400,447.8400,0.000100,0
8.4500,104.000,52.000,429.8400,429.8400,0.000100,0
8.5000,100.000,50.000,444.0000,444.0000,0.000100,0
8.5500,100.000,50.000,433.2000,433.2000,0.000100,0
8.6000,104.000,52.000,447.6000,447.6000,0.000100,0
8.6500,100.000,50.000,429.6000,429.6000,0.000100,0
8.7000,100.000,50.000,446.6400,446.6400,0.000100,0
8.7500,102.000,51.000,421.9200,421.9200,0.000100,0
8.8000,104.000,52.000,434.4000,434.4000,0.000100,0
8.8500,102.000,51.000,420.9600,420.9600,0.000100,0
8.9000,104.000,52.000,419.2800,419.2800,0.000100,0
8.9500,100.000,50.000,457.4400,457.4400,0.000100,0
9.0000,102.000,51.000,415.4400,415.4400,0.000100,0
9.0500,104.000,52.000,434.1600,434.1600,0.000100,0
9.1000,106.000,53.000,430.5600,430.5600,0.000100,0
9.1500,102.000,51.000,437.5200,437.5200,0.000100,0
9.2000,104.000,52.000,447.6000,447.6000,0.000100,0
9.2500,100.000,50.000,429.8400,429.8400,0.000100,0
9.3000,104.000,52.000,447.8400,447.8400,0.000100,0
9.3500,100.000,50.000,419.0400,419.0400,0.000100,0
9.4000,100.000,50.000,458.4000,458.4000,0.000100,0
9.4500,104.000,52.000,421.9200,421.9200,0.000100,0
9.5000,100.000,50.000,414.2400,414.2400,0.000100,0
9.5500,100.000,50.000,464.1600,464.1600,0.000100,0
9.6000,104.000,52.000,414.4800,414.4800,0.000100,0
9.6500,100.000,50.000,435.6000,435.6000,0.000100,0
9.7000,100.000,50.000,434.6400,434.6400,0.000100,0
9.7500,104.000,52.000,392.6400,392.6400,0.000100,0
9.8000,100.000,50.000,448.0800,448.0800,0.000100,0
9.8500,100.000,50.000,430.5600,430.5600,0.000100,0
9.9000,104.000,52.000,447.8400,447.8400,0.000100,0
9.9500,100.000,50.000,418.3200,418.3200,0.000100,0
10.0000,100.000,50.000,460.0800,460.0800,0.000100,0
10.0500,104.000,52.000,422.1600,422.1600,0.000100,0
10.1000,102.000,51.000,420.0000,420.0000,0.000100,0
10.1500,100.000,50.000,458.4000,458.4000,0.000100,0
10.2000,104.000,52.000,331.6800,331.6800,0.000100,0
10.2500,100.000,50.000,16.3200,16.3200,0.000100,0
10.3000,100.000,50.000,91.6800,91.6800,0.000100,0
10.3500,116.000,58.000,175.6800,175.6800,0.000100,0
10.4000,102.000,51.000,370.8000,370.8000,0.000100,0
10.4500,104.000,52.000,352.5600,352.5600,0.000100,0
10.5000,106.000,53.000,385.9200,385.9200,0.000100,0
10.5500,98.000,49.000,354.0000,354.0000,0.000100,0
10.6000,102.000,51.000,376.5600,376.5600,0.000100,0
10.6500,98.000,49.000,443.7600,443.7600,0.000100,0
10.7000,100.000,50.000,399.3600,399.3600,0.000100,0
10.7500,100.000,50.000,420.2400,420.2400,0.000100,0
10.8000,100.000,50.000,422.4000,422.4000,0.000100,0
10.8500,98.000,49.000,420.7200,420.7200,0.000100,0
10.9000,104.000,52.000,429.8400,429.8400,0.000100,0
10.9500,100.000,50.000,412.8000,412.8000,0.000100,0
11.0000,104.000,52.000,430.5600,430.5600,0.000100,0
11.0500,100.000,50.000,401.5200,401.5200,0.000100,0
11.1000,100.000,50.000,441.3600,441.3600,0.000100,0
11.1500,104.000,52.000,402.0000,402.0000,0.000100,0
11.2000,108.000,54.000,403.2000,403.2000,0.000100,0
11.2500,100.000,50.000,436.8000,436.8000,0.000100,0
11.3000,102.000,51.000,400.8000,400.8000,0.000100,0
11.3500,100.000,50.000,421.2000,421.2000,0.000100,0
11.4000,100.000,50.000,425.0400,425.0400,0.000100,0
11.4500,104.000,52.000,419.0400,419.0400,0.000100,0
11.5000,102.000,51.000,426.9600,426.9600,0.000100,0
11.5500,100.000,50.000,414.4800,414.4800,0.000100,0
11.6000,100.000,50.000,429.1200,429.1200,0.000100,0
11.6500,98.000,49.000,401.5200,401.5200,0.000100,0
11.7000,100.000,50.000,440.6400,440.6400,0.000100,0
11.7500,102.000,51.000,402.7200,402.7200,0.000100,0
11.8000,110.000,55.000,396.9600,396.9600,0.000100,0
11.8500,102.000,51.000,436.0800,436.0800,0.000100,0
11.9000,98.000,49.000,396.7200,396.7200,0.000100,0
11.9500,98.000,49.000,422.6400,422.6400,0.000100,0
12.0000,98.000,49.000,427.4400,427.4400,0.000100,0
12.0500,110.000,55.000,415.9200,415.9200,0.000100,0
12.1000,100.000,50.000,430.5600,430.5600,0.000100,0
12.1500,104.000,52.000,413.2800,413.2800,0.000100,0
12.2000,104.000,52.000,428.4000,428.4000,0.000100,0
12.2500,98.000,49.000,415.4400,415.4400,0.000100,0
12.3000,102.000,51.000,430.0800,430.0800,0.000100,0
12.3500,104.000,52.000,399.8400,399.8400,0.000100,0
12.4000,100.000,50.000,441.1200,441.1200,0.000100,0
12.4500,100.000,50.000,402.7200,402.7200,0.000100,0
12.5000,104.000,52.000,400.0800,400.0800,0.000100,0
12.5500,104.000,52.000,442.5600,442.5600,0.000100,0
12.6000,102.000,51.000,401.0400,401.0400,0.000100,0
12.6500,98.000,49.000,420.9600,420.9600,0.000100,0
12.7000,100.000,50.000,422.8800,422.8800,0.000100,0
12.7500,104.000,52.000,421.4400,421.4400,0.000100,0
12.8000,104.000,52.000,427.9200,427.9200,0.000100,0
12.8500,98.000,49.000,415.4400,415.4400,0.000100,0
12.9000,104.000,52.000,427.9200,427.9200,0.000100,0
12.9500,108.000,54.000,401.5200,401.5200,0.000100,0
13.0000,100.000,50.000,441.6000,441.6000,0.000100,0
13.0500,104.000,52.000,394.8000,394.8000,0.000100,0
13.1000,100.000,50.000,401.2800,401.2800,0.000100,0
13.1500,100.000,50.000,442.3200,442.3200,0.000100,0
