scenario,variant,seed,goodput_mbps,avg_rtt_ms,p95_rtt_ms,p99_rtt_ms,loss_rate,utilization,handovers,ascent_ok,ascent_erased,ascent_applied,orb_samples
leo_fast_ho,orb,7,65.49589333333334,79.45646230898222,123.59749108991015,123.59749108991015,0.013251482475452778,0.9356556190476191,4,0,0,0,4500
leo_fast_ho,hybrid,7,58.145066666666665,62.893582097040294,111.11152720884165,111.11152720884165,0.008429378037777584,0.8306438095238095,3,6,0,6,4500
leo_fast_ho,bbr,7,82.08298666666667,81.07227305189473,111.25620022888846,111.25620022888846,0.012592674332962935,1.1726140952380952,3,0,0,0,0
leo_fast_ho,cubic,7,5.697493333333333,64.54440716780704,169.8293815882876,169.8293815882876,0.001383487885133114,0.0813927619047619,3,0,0,0,0
leo_single,endpoint,13,84.41770666666667,74.83014640226098,122.06118938532795,122.06118938532795,0.005708829589426604,1.2059672380952382,2,0,0,0,0
leo_single,ascent_plain,13,83.79093333333333,70.63941293344634,89.096821748872,89.096821748872,0.005552418834169277,1.1970133333333333,2,4,0,4,0
leo_single,ascent_d,13,83.79093333333333,70.63941293344634,89.096821748872,89.096821748872,0.005552418834169277,1.1970133333333333,2,4,0,4,0
leo_single,ascent_d_noisy,13,84.41770666666667,74.83014640226098,122.06118938532795,122.06118938532795,0.005708829589426604,1.2059672380952382,2,0,1,0,0
leo_single,orb,13,62.591786666666664,69.1966288236609,106.40595627143169,106.40595627143169,0.004522752873797212,0.8941683809523809,2,0,0,0,4500
leo_single,hybrid,13,79.18890666666667,70.58579313686586,89.096821748872,89.096821748872,0.005207146896213496,1.1312700952380954,2,4,0,4,4500
leo_single,bbr,13,45.447466666666664,52.10477555065071,76.58691058184131,78.96844615730242,0.021289205169316715,0.6492495238095237,2,0,0,0,0
leo_single,cubic,13,9.745493333333334,52.9981857907793,122.95939084598079,122.95939084598079,0.0007218637208793613,0.13922133333333334,2,0,0,0,0
leo_single,endpoint,7,65.48693333333334,97.77550654612953,158.07667617645933,158.07667617645933,0.0039424371724775704,0.935527619047619,2,0,0,0,0
leo_single,ascent_plain,7,60.099626666666666,94.20448801160528,158.07667617645933,158.07667617645933,0.0029340355198799488,0.8585660952380952,2,4,0,4,0
leo_single,ascent_d,7,60.099626666666666,94.20448801160528,158.07667617645933,158.07667617645933,0.0029340355198799488,0.8585660952380952,2,4,0,4,0
leo_single,ascent_d_noisy,7,65.48693333333334,97.77550654612953,158.07667617645933,158.07667617645933,0.0039424371724775704,0.935527619047619,2,0,2,0,0
leo_single,orb,7,89.51402666666667,53.4073473409023,110.94467463363624,110.94467463363624,0.007418394116380789,1.2787718095238096,2,0,0,0,4500
leo_single,hybrid,7,65.09546666666667,96.48876767314216,158.07667617645933,158.07667617645933,0.004128590078328982,0.929935238095238,2,4,0,4,4500
leo_single,bbr,7,68.83733333333333,70.86849604672821,104.72239785241709,104.72239785241709,0.012743238281728063,0.9833904761904761,2,0,0,0,0
leo_single,cubic,7,7.526186666666667,57.79248006224412,134.76324063241034,134.76324063241034,0.0010193968568596914,0.10751695238095238,2,0,0,0,0
terrestrial,endpoint,13,77.8176,40.000000000000014,40.0,40.0,0.0008737595490414666,1.11168,0,0,0,0,0
terrestrial,ascent_plain,13,77.8176,40.000000000000014,40.0,40.0,0.0008737595490414666,1.11168,0,0,0,0,0
terrestrial,ascent_d,13,77.8176,40.000000000000014,40.0,40.0,0.0008737595490414666,1.11168,0,0,0,0,0
terrestrial,ascent_d_noisy,13,77.8176,40.000000000000014,40.0,40.0,0.0008737595490414666,1.11168,0,0,0,0,0
terrestrial,orb,13,78.10112,40.000000000000014,40.0,40.0,0.010610093912573474,1.1157302857142857,0,0,0,0,4500
terrestrial,hybrid,13,77.8176,40.000000000000014,40.0,40.0,0.0008737595490414666,1.11168,0,0,0,0,4500
terrestrial,bbr,13,78.53696,40.00000000000002,40.0,40.0,0.012216423617166853,1.1219565714285715,0,0,0,0,0
terrestrial,cubic,13,15.47904,40.0,40.0,40.0,0.0004546018101417531,0.22112914285714286,0,0,0,0,0
terrestrial,endpoint,7,77.69941333333333,40.00000000000002,40.0,40.0,0.0009134574501644498,1.109991619047619,0,0,0,0,0
terrestrial,ascent_plain,7,77.69941333333333,40.00000000000002,40.0,40.0,0.0009134574501644498,1.109991619047619,0,0,0,0,0
terrestrial,ascent_d,7,77.69941333333333,40.00000000000002,40.0,40.0,0.0009134574501644498,1.109991619047619,0,0,0,0,0
terrestrial,ascent_d_noisy,7,77.69941333333333,40.00000000000002,40.0,40.0,0.0009134574501644498,1.109991619047619,0,0,0,0,0
terrestrial,orb,7,78.08576,40.00000000000002,40.0,40.0,0.010582739997080624,1.1155108571428571,0,0,0,0,4500
terrestrial,hybrid,7,77.69941333333333,40.00000000000002,40.0,40.0,0.0009134574501644498,1.109991619047619,0,0,0,0,4500
terrestrial,bbr,7,78.53482666666667,40.00000000000002,40.0,40.0,0.01224855579733671,1.1219260952380954,0,0,0,0,0
terrestrial,cubic,7,12.39168,40.0,40.0,40.0,0.0006365810436488137,0.177024,0,0,0,0,0
